season,episodeNumber,episodeTitle,sceneNumber,location,sublocation,sceneStart,sceneEnd,name,sceneDuration
1,1,Winter Is Coming,18,The North,Winterfell,0:20:45,0:22:43,Catelyn Stark,118
1,1,Winter Is Coming,18,The North,Winterfell,0:20:45,0:22:43,Eddard Stark,118
1,1,Winter Is Coming,19,The North,Winterfell,0:22:43,0:23:09,Catelyn Stark,26
1,1,Winter Is Coming,19,The North,Winterfell,0:22:43,0:23:09,Maester Luwin,26
1,1,Winter Is Coming,20,The North,Winterfell,0:23:09,0:23:39,Robb Stark,30
1,1,Winter Is Coming,20,The North,Winterfell,0:23:09,0:23:39,Theon Greyjoy,30
1,1,Winter Is Coming,20,The North,Winterfell,0:23:09,0:23:39,Jon Snow,30
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Bran Stark,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Catelyn Stark,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Maester Luwin,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Summer,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Arya Stark,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Joffrey Baratheon,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Sandor Clegane,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Rickon Stark,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Eddard Stark,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Sansa Stark,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Theon Greyjoy,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Jon Snow,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Jory Cassel,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Hodor,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Rodrik Cassel,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Robert Baratheon,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Cersei Lannister,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Jaime Lannister,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Myrcella Baratheon,337
1,1,Winter Is Coming,21,The North,Winterfell,0:23:39,0:29:16,Tommen Baratheon,337
1,1,Winter Is Coming,22,The North,Winterfell,0:29:16,0:30:47,Robert Baratheon,91
1,1,Winter Is Coming,22,The North,Winterfell,0:29:16,0:30:47,Eddard Stark,91
1,1,Winter Is Coming,23,The North,Winterfell,0:30:47,0:32:57,Jaime Lannister,130
1,1,Winter Is Coming,23,The North,Winterfell,0:30:47,0:32:57,Tyrion Lannister,130
1,1,Winter Is Coming,23,The North,Winterfell,0:30:47,0:32:57,Ros,130
1,1,Winter Is Coming,24,The North,Winterfell,0:32:57,0:33:45,Robert Baratheon,48
1,1,Winter Is Coming,24,The North,Winterfell,0:32:57,0:33:45,Eddard Stark,48
1,1,Winter Is Coming,25,Pentos,NA,0:33:45,0:36:17,Daenerys Targaryen,152
1,1,Winter Is Coming,25,Pentos,NA,0:33:45,0:36:17,Viserys Targaryen,152
1,1,Winter Is Coming,26,Pentos,NA,0:36:17,0:38:23,Daenerys Targaryen,126
1,1,Winter Is Coming,26,Pentos,NA,0:36:17,0:38:23,Viserys Targaryen,126
1,1,Winter Is Coming,26,Pentos,NA,0:36:17,0:38:23,Illyrio Mopatis,126
1,1,Winter Is Coming,26,Pentos,NA,0:36:17,0:38:23,Khal Drogo,126
1,1,Winter Is Coming,26,Pentos,NA,0:36:17,0:38:23,Qotho,126
1,1,Winter Is Coming,27,Pentos,NA,0:38:23,0:40:05,Viserys Targaryen,102
1,1,Winter Is Coming,27,Pentos,NA,0:38:23,0:40:05,Illyrio Mopatis,102
1,1,Winter Is Coming,27,Pentos,NA,0:38:23,0:40:05,Daenerys Targaryen,102
1,1,Winter Is Coming,28,The North,Winterfell,0:40:05,0:40:56,Catelyn Stark,51
1,1,Winter Is Coming,28,The North,Winterfell,0:40:05,0:40:56,Sansa Stark,51
1,1,Winter Is Coming,29,The North,Winterfell,0:40:56,0:41:19,Robert Baratheon,23
1,1,Winter Is Coming,29,The North,Winterfell,0:40:56,0:41:19,Catelyn Stark,23
1,1,Winter Is Coming,29,The North,Winterfell,0:40:56,0:41:19,Cersei Lannister,23
1,1,Winter Is Coming,29,The North,Winterfell,0:40:56,0:41:19,Rodrik Cassel,23
1,1,Winter Is Coming,30,The North,Winterfell,0:41:19,0:44:14,Jon Snow,175
1,1,Winter Is Coming,30,The North,Winterfell,0:41:19,0:44:14,Benjen Stark,175
1,1,Winter Is Coming,30,The North,Winterfell,0:41:19,0:44:14,Tyrion Lannister,175
1,1,Winter Is Coming,31,The North,Winterfell,0:44:14,0:47:28,Rodrik Cassel,194
1,1,Winter Is Coming,31,The North,Winterfell,0:44:14,0:47:28,Benjen Stark,194
1,1,Winter Is Coming,31,The North,Winterfell,0:44:14,0:47:28,Eddard Stark,194
1,1,Winter Is Coming,31,The North,Winterfell,0:44:14,0:47:28,Robb Stark,194
1,1,Winter Is Coming,31,The North,Winterfell,0:44:14,0:47:28,Robert Baratheon,194
1,1,Winter Is Coming,31,The North,Winterfell,0:44:14,0:47:28,Catelyn Stark,194
1,1,Winter Is Coming,31,The North,Winterfell,0:44:14,0:47:28,Cersei Lannister,194
1,1,Winter Is Coming,31,The North,Winterfell,0:44:14,0:47:28,Sansa Stark,194
1,1,Winter Is Coming,31,The North,Winterfell,0:44:14,0:47:28,Joffrey Baratheon,194
1,1,Winter Is Coming,31,The North,Winterfell,0:44:14,0:47:28,Jaime Lannister,194
1,1,Winter Is Coming,31,The North,Winterfell,0:44:14,0:47:28,Arya Stark,194
1,1,Winter Is Coming,31,The North,Winterfell,0:44:14,0:47:28,Theon Greyjoy,194
1,1,Winter Is Coming,32,The North,Winterfell,0:47:28,0:50:29,Eddard Stark,181
1,1,Winter Is Coming,32,The North,Winterfell,0:47:28,0:50:29,Catelyn Stark,181
1,1,Winter Is Coming,32,The North,Winterfell,0:47:28,0:50:29,Maester Luwin,181
1,1,Winter Is Coming,33,Pentos,NA,0:50:29,0:56:05,Khal Drogo,336
1,1,Winter Is Coming,33,Pentos,NA,0:50:29,0:56:05,Daenerys Targaryen,336
1,1,Winter Is Coming,33,Pentos,NA,0:50:29,0:56:05,Viserys Targaryen,336
1,1,Winter Is Coming,33,Pentos,NA,0:50:29,0:56:05,Illyrio Mopatis,336
1,1,Winter Is Coming,33,Pentos,NA,0:50:29,0:56:05,Qotho,336
1,1,Winter Is Coming,33,Pentos,NA,0:50:29,0:56:05,Jorah Mormont,336
1,1,Winter Is Coming,33,Pentos,NA,0:50:29,0:56:05,Drogon,336
1,1,Winter Is Coming,33,Pentos,NA,0:50:29,0:56:05,Rhaegal,336
1,1,Winter Is Coming,33,Pentos,NA,0:50:29,0:56:05,Viserion,336
1,1,Winter Is Coming,34,Pentos,NA,0:56:05,0:57:48,Khal Drogo,103
1,1,Winter Is Coming,34,Pentos,NA,0:56:05,0:57:48,Daenerys Targaryen,103
1,1,Winter Is Coming,35,The North,Winterfell,0:57:48,0:59:06,Tyrion Lannister,78
1,1,Winter Is Coming,35,The North,Winterfell,0:57:48,0:59:06,Sandor Clegane,78
1,1,Winter Is Coming,35,The North,Winterfell,0:57:48,0:59:06,Theon Greyjoy,78
1,1,Winter Is Coming,35,The North,Winterfell,0:57:48,0:59:06,Eddard Stark,78
1,1,Winter Is Coming,35,The North,Winterfell,0:57:48,0:59:06,Benjen Stark,78
1,1,Winter Is Coming,35,The North,Winterfell,0:57:48,0:59:06,Robb Stark,78
1,1,Winter Is Coming,35,The North,Winterfell,0:57:48,0:59:06,Robert Baratheon,78
1,1,Winter Is Coming,35,The North,Winterfell,0:57:48,0:59:06,Bran Stark,78
1,1,Winter Is Coming,35,The North,Winterfell,0:57:48,0:59:06,Summer,78
1,1,Winter Is Coming,36,The North,Winterfell,0:59:06,1:00:57,Bran Stark,111
1,1,Winter Is Coming,36,The North,Winterfell,0:59:06,1:00:57,Summer,111
1,1,Winter Is Coming,36,The North,Winterfell,0:59:06,1:00:57,Jaime Lannister,111
1,1,Winter Is Coming,36,The North,Winterfell,0:59:06,1:00:57,Cersei Lannister,111
1,2,The Kingsroad,1,The Dothraki Sea,NA,0:02:22,0:05:28,Jorah Mormont,186
1,2,The Kingsroad,1,The Dothraki Sea,NA,0:02:22,0:05:28,Daenerys Targaryen,186
1,2,The Kingsroad,1,The Dothraki Sea,NA,0:02:22,0:05:28,Khal Drogo,186
1,2,The Kingsroad,1,The Dothraki Sea,NA,0:02:22,0:05:28,Viserys Targaryen,186
1,2,The Kingsroad,1,The Dothraki Sea,NA,0:02:22,0:05:28,Doreah,186
1,2,The Kingsroad,1,The Dothraki Sea,NA,0:02:22,0:05:28,Irri,186
1,2,The Kingsroad,1,The Dothraki Sea,NA,0:02:22,0:05:28,Jhiqui,186
1,2,The Kingsroad,2,The North,Winterfell,0:05:28,0:07:05,Tyrion Lannister,97
1,2,The Kingsroad,2,The North,Winterfell,0:05:28,0:07:05,Joffrey Baratheon,97
1,2,The Kingsroad,2,The North,Winterfell,0:05:28,0:07:05,Sandor Clegane,97
1,2,The Kingsroad,3,The North,Winterfell,0:07:05,0:09:18,Tyrion Lannister,133
1,2,The Kingsroad,3,The North,Winterfell,0:07:05,0:09:18,Jaime Lannister,133
1,2,The Kingsroad,3,The North,Winterfell,0:07:05,0:09:18,Cersei Lannister,133
1,2,The Kingsroad,3,The North,Winterfell,0:07:05,0:09:18,Tommen Baratheon,133
1,2,The Kingsroad,3,The North,Winterfell,0:07:05,0:09:18,Myrcella Baratheon,133
1,2,The Kingsroad,4,The North,Winterfell,0:09:18,0:11:44,Catelyn Stark,146
1,2,The Kingsroad,4,The North,Winterfell,0:09:18,0:11:44,Bran Stark,146
1,2,The Kingsroad,4,The North,Winterfell,0:09:18,0:11:44,Cersei Lannister,146
1,2,The Kingsroad,5,The North,Winterfell,0:11:44,0:13:26,Jon Snow,102
1,2,The Kingsroad,5,The North,Winterfell,0:11:44,0:13:26,Jaime Lannister,102
1,2,The Kingsroad,6,The North,Winterfell,0:13:26,0:15:43,Arya Stark,137
1,2,The Kingsroad,6,The North,Winterfell,0:13:26,0:15:43,Nymeria,137
1,2,The Kingsroad,6,The North,Winterfell,0:13:26,0:15:43,Jon Snow,137
1,2,The Kingsroad,7,The North,Winterfell,0:15:43,0:19:22,Catelyn Stark,219
1,2,The Kingsroad,7,The North,Winterfell,0:15:43,0:19:22,Jon Snow,219
1,2,The Kingsroad,7,The North,Winterfell,0:15:43,0:19:22,Bran Stark,219
1,2,The Kingsroad,7,The North,Winterfell,0:15:43,0:19:22,Eddard Stark,219
1,2,The Kingsroad,8,The North,Winterfell,0:19:22,0:20:07,Jon Snow,45
1,2,The Kingsroad,8,The North,Winterfell,0:19:22,0:20:07,Robb Stark,45
1,2,The Kingsroad,9,The North,Winterfell,0:20:07,0:21:51,Tyrion Lannister,104
1,2,The Kingsroad,9,The North,Winterfell,0:20:07,0:21:51,Benjen Stark,104
1,2,The Kingsroad,9,The North,Winterfell,0:20:07,0:21:51,Eddard Stark,104
1,2,The Kingsroad,9,The North,Winterfell,0:20:07,0:21:51,Jon Snow,104
1,2,The Kingsroad,10,The North,The Kingsroad South to King's Landing,0:21:51,0:25:10,Robert Baratheon,199
1,2,The Kingsroad,10,The North,The Kingsroad South to King's Landing,0:21:51,0:25:10,Eddard Stark,199
1,2,The Kingsroad,11,The Dothraki Sea,Dothraki Camp,0:25:10,0:25:56,Khal Drogo,46
1,2,The Kingsroad,11,The Dothraki Sea,Dothraki Camp,0:25:10,0:25:56,Daenerys Targaryen,46
1,2,The Kingsroad,11,The Dothraki Sea,Dothraki Camp,0:25:10,0:25:56,Drogon,46
1,2,The Kingsroad,11,The Dothraki Sea,Dothraki Camp,0:25:10,0:25:56,Rhaegal,46
1,2,The Kingsroad,11,The Dothraki Sea,Dothraki Camp,0:25:10,0:25:56,Viserion,46
1,2,The Kingsroad,12,The North,North to the Wall,0:25:56,0:29:16,Jon Snow,200
1,2,The Kingsroad,12,The North,North to the Wall,0:25:56,0:29:16,Ghost,200
1,2,The Kingsroad,12,The North,North to the Wall,0:25:56,0:29:16,Benjen Stark,200
1,2,The Kingsroad,12,The North,North to the Wall,0:25:56,0:29:16,Tyrion Lannister,200
1,2,The Kingsroad,12,The North,North to the Wall,0:25:56,0:29:16,Rast,200
1,2,The Kingsroad,13,The North,Winterfell,0:29:16,0:32:28,Catelyn Stark,192
1,2,The Kingsroad,13,The North,Winterfell,0:29:16,0:32:28,Bran Stark,192
1,2,The Kingsroad,13,The North,Winterfell,0:29:16,0:32:28,Maester Luwin,192
1,2,The Kingsroad,13,The North,Winterfell,0:29:16,0:32:28,Robb Stark,192
1,2,The Kingsroad,13,The North,Winterfell,0:29:16,0:32:28,Catspaw Assassin,192
1,2,The Kingsroad,13,The North,Winterfell,0:29:16,0:32:28,Summer,192
1,2,The Kingsroad,14,The Dothraki Sea,Dothraki Camp,0:32:28,0:34:21,Daenerys Targaryen,113
1,2,The Kingsroad,14,The Dothraki Sea,Dothraki Camp,0:32:28,0:34:21,Doreah,113
1,2,The Kingsroad,14,The Dothraki Sea,Dothraki Camp,0:32:28,0:34:21,Irri,113
1,2,The Kingsroad,14,The Dothraki Sea,Dothraki Camp,0:32:28,0:34:21,Jhiqui,113
1,2,The Kingsroad,14,The Dothraki Sea,Dothraki Camp,0:32:28,0:34:21,Drogon,113
1,2,The Kingsroad,14,The Dothraki Sea,Dothraki Camp,0:32:28,0:34:21,Rhaegal,113
1,2,The Kingsroad,14,The Dothraki Sea,Dothraki Camp,0:32:28,0:34:21,Viserion,113
1,2,The Kingsroad,15,The Wall,The Gift,0:34:21,0:34:53,Benjen Stark,32
1,2,The Kingsroad,15,The Wall,The Gift,0:34:21,0:34:53,Jon Snow,32
1,2,The Kingsroad,15,The Wall,The Gift,0:34:21,0:34:53,Tyrion Lannister,32
1,2,The Kingsroad,16,The North,Winterfell,0:34:53,0:36:12,Catelyn Stark,79
1,2,The Kingsroad,17,The North,Winterfell,0:36:12,0:38:01,Catelyn Stark,109
1,2,The Kingsroad,17,The North,Winterfell,0:36:12,0:38:01,Robb Stark,109
1,2,The Kingsroad,17,The North,Winterfell,0:36:12,0:38:01,Maester Luwin,109
1,2,The Kingsroad,17,The North,Winterfell,0:36:12,0:38:01,Rodrik Cassel,109
1,2,The Kingsroad,17,The North,Winterfell,0:36:12,0:38:01,Theon Greyjoy,109
1,2,The Kingsroad,18,The North,Winterfell,0:38:01,0:38:54,Catelyn Stark,53
1,2,The Kingsroad,18,The North,Winterfell,0:38:01,0:38:54,Bran Stark,53
1,2,The Kingsroad,19,The Dothraki Sea,Dothraki Camp,0:38:54,0:40:37,Daenerys Targaryen,103
1,2,The Kingsroad,19,The Dothraki Sea,Dothraki Camp,0:38:54,0:40:37,Doreah,103
1,2,The Kingsroad,20,The Dothraki Sea,Dothraki Camp,0:40:37,0:42:47,Drogon,130
1,2,The Kingsroad,20,The Dothraki Sea,Dothraki Camp,0:40:37,0:42:47,Rhaegal,130
1,2,The Kingsroad,20,The Dothraki Sea,Dothraki Camp,0:40:37,0:42:47,Viserion,130
1,2,The Kingsroad,20,The Dothraki Sea,Dothraki Camp,0:40:37,0:42:47,Khal Drogo,130
1,2,The Kingsroad,20,The Dothraki Sea,Dothraki Camp,0:40:37,0:42:47,Daenerys Targaryen,130
1,2,The Kingsroad,21,The Riverlands,Crossroads Inn,0:42:47,0:44:38,Sansa Stark,111
1,2,The Kingsroad,21,The Riverlands,Crossroads Inn,0:42:47,0:44:38,Lady,111
1,2,The Kingsroad,21,The Riverlands,Crossroads Inn,0:42:47,0:44:38,Joffrey Baratheon,111
1,2,The Kingsroad,21,The Riverlands,Crossroads Inn,0:42:47,0:44:38,Sandor Clegane,111
1,2,The Kingsroad,21,The Riverlands,Crossroads Inn,0:42:47,0:44:38,Ilyn Payne,111
1,2,The Kingsroad,22,The Riverlands,Crossroads Inn,0:44:38,0:47:21,Arya Stark,163
1,2,The Kingsroad,22,The Riverlands,Crossroads Inn,0:44:38,0:47:21,Mycah,163
1,2,The Kingsroad,22,The Riverlands,Crossroads Inn,0:44:38,0:47:21,Joffrey Baratheon,163
1,2,The Kingsroad,22,The Riverlands,Crossroads Inn,0:44:38,0:47:21,Sansa Stark,163
1,2,The Kingsroad,22,The Riverlands,Crossroads Inn,0:44:38,0:47:21,Nymeria,163
1,2,The Kingsroad,23,The Riverlands,Crossroads Inn,0:47:21,0:48:12,Arya Stark,51
1,2,The Kingsroad,23,The Riverlands,Crossroads Inn,0:47:21,0:48:12,Nymeria,51
1,2,The Kingsroad,24,The Riverlands,Crossroads Inn,0:48:12,0:48:50,Eddard Stark,38
1,2,The Kingsroad,24,The Riverlands,Crossroads Inn,0:48:12,0:48:50,Jory Cassel,38
1,2,The Kingsroad,25,The Riverlands,Crossroads Inn,0:48:50,0:52:59,Eddard Stark,249
1,2,The Kingsroad,25,The Riverlands,Crossroads Inn,0:48:50,0:52:59,Arya Stark,249
1,2,The Kingsroad,25,The Riverlands,Crossroads Inn,0:48:50,0:52:59,Joffrey Baratheon,249
1,2,The Kingsroad,25,The Riverlands,Crossroads Inn,0:48:50,0:52:59,Cersei Lannister,249
1,2,The Kingsroad,25,The Riverlands,Crossroads Inn,0:48:50,0:52:59,Robert Baratheon,249
1,2,The Kingsroad,25,The Riverlands,Crossroads Inn,0:48:50,0:52:59,Ilyn Payne,249
1,2,The Kingsroad,25,The Riverlands,Crossroads Inn,0:48:50,0:52:59,Sansa Stark,249
1,2,The Kingsroad,25,The Riverlands,Crossroads Inn,0:48:50,0:52:59,Jory Cassel,249
1,2,The Kingsroad,26,The Riverlands,Crossroads Inn,0:52:59,0:53:30,Sandor Clegane,31
1,2,The Kingsroad,26,The Riverlands,Crossroads Inn,0:52:59,0:53:30,Mycah,31
1,2,The Kingsroad,26,The Riverlands,Crossroads Inn,0:52:59,0:53:30,Eddard Stark,31
1,2,The Kingsroad,27,The North,Winterfell,0:53:30,0:53:41,Bran Stark,11
1,2,The Kingsroad,27,The North,Winterfell,0:53:30,0:53:41,Summer,11
1,2,The Kingsroad,28,The Riverlands,Crossroads Inn,0:53:41,0:54:09,Lady,28
1,2,The Kingsroad,28,The Riverlands,Crossroads Inn,0:53:41,0:54:09,Eddard Stark,28
1,2,The Kingsroad,29,The North,Winterfell,0:54:09,0:54:25,Bran Stark,16
1,2,The Kingsroad,29,The North,Winterfell,0:54:09,0:54:25,Summer,16
1,2,The Kingsroad,30,The Riverlands,Crossroads Inn,0:54:25,0:54:35,Eddard Stark,10
1,2,The Kingsroad,30,The Riverlands,Crossroads Inn,0:54:25,0:54:35,Lady,10
1,2,The Kingsroad,31,The North,Winterfell,0:54:35,0:54:44,Bran Stark,9
1,2,The Kingsroad,31,The North,Winterfell,0:54:35,0:54:44,Summer,9
1,3,Lord Snow,1,The Crownlands,King's Landing,0:01:47,0:02:42,Eddard Stark,55
1,3,Lord Snow,1,The Crownlands,King's Landing,0:01:47,0:02:42,Sansa Stark,55
1,3,Lord Snow,1,The Crownlands,King's Landing,0:01:47,0:02:42,Arya Stark,55
1,3,Lord Snow,1,The Crownlands,King's Landing,0:01:47,0:02:42,Jory Cassel,55
1,3,Lord Snow,1,The Crownlands,King's Landing,0:01:47,0:02:42,Septa Mordane,55
1,3,Lord Snow,2,The Crownlands,King's Landing,0:02:42,0:05:17,Eddard Stark,155
1,3,Lord Snow,2,The Crownlands,King's Landing,0:02:42,0:05:17,Jaime Lannister,155
1,3,Lord Snow,3,The Crownlands,King's Landing,0:05:17,0:08:11,Eddard Stark,174
1,3,Lord Snow,3,The Crownlands,King's Landing,0:05:17,0:08:11,Lord Varys,174
1,3,Lord Snow,3,The Crownlands,King's Landing,0:05:17,0:08:11,Grand Maester Pycelle,174
1,3,Lord Snow,3,The Crownlands,King's Landing,0:05:17,0:08:11,Renly Baratheon,174
1,3,Lord Snow,3,The Crownlands,King's Landing,0:05:17,0:08:11,Petyr Baelish,174
1,3,Lord Snow,4,The Crownlands,King's Landing,0:08:11,0:10:50,Joffrey Baratheon,159
1,3,Lord Snow,4,The Crownlands,King's Landing,0:08:11,0:10:50,Cersei Lannister,159
1,3,Lord Snow,5,The Crownlands,King's Landing,0:10:50,0:12:11,Arya Stark,81
1,3,Lord Snow,5,The Crownlands,King's Landing,0:10:50,0:12:11,Sansa Stark,81
1,3,Lord Snow,5,The Crownlands,King's Landing,0:10:50,0:12:11,Septa Mordane,81
1,3,Lord Snow,5,The Crownlands,King's Landing,0:10:50,0:12:11,Eddard Stark,81
1,3,Lord Snow,6,The Crownlands,King's Landing,0:12:11,0:15:48,Arya Stark,217
1,3,Lord Snow,6,The Crownlands,King's Landing,0:12:11,0:15:48,Eddard Stark,217
1,3,Lord Snow,7,The North,Winterfell,0:15:48,0:18:50,Bran Stark,182
1,3,Lord Snow,7,The North,Winterfell,0:15:48,0:18:50,Old Nan,182
1,3,Lord Snow,7,The North,Winterfell,0:15:48,0:18:50,Robb Stark,182
1,3,Lord Snow,8,The Crownlands,King's Landing,0:18:50,0:21:42,Rodrik Cassel,172
1,3,Lord Snow,8,The Crownlands,King's Landing,0:18:50,0:21:42,Catelyn Stark,172
1,3,Lord Snow,8,The Crownlands,King's Landing,0:18:50,0:21:42,Petyr Baelish,172
1,3,Lord Snow,8,The Crownlands,King's Landing,0:18:50,0:21:42,Lord Varys,172
